Prodct,Prodct Id,Question,Answer
Clothing_Shoes_and_Jewelry,B0009QW012,is this hat collapisble as well/,"No, it is made to be one solid shape."
Clothing_Shoes_and_Jewelry,B0009QW012,is this hat collapisble as well/,"No, you cannot collapse the hat. It is very sturdy and solid."
Clothing_Shoes_and_Jewelry,B00E5PCX1A,Is it dual voltage? 110v-220v?,No it is not.
Clothing_Shoes_and_Jewelry,B0009QW012,is this hat collapisble as well/,"No, it is not collapsible. It's actually very rigid."
Clothing_Shoes_and_Jewelry,B0009QW012,is this hat collapisble as well/,"No it is not, made of 100% wool, it is very elegant and not a cheap little magicians toy."
Clothing_Shoes_and_Jewelry,B0009QW012,is this hat collapisble as well/,No.  It is not collapsible. It is a well made hat.
Clothing_Shoes_and_Jewelry,B0009QW012,what is the height?,"Bottom to top it is 7"" tall"
Clothing_Shoes_and_Jewelry,B0009QW012,what is the height?,"Just measured with a tape measure.  Sitting on a flat surface it is just over 8"" tall."
Clothing_Shoes_and_Jewelry,B0009QW012,what is the height?,Height is the measure of how tall is the hat from the wing to the top ^^
Clothing_Shoes_and_Jewelry,B000CC3OMC,is it for kids?,It's not frail..If you dropped it more than likely it won't break. But Lil kid abuse will definitely break it
Clothing_Shoes_and_Jewelry,B000CC3OMC,is it for kids?,"To go with a costume yes, but Lil kids definitely not. It's more of a display piece"
Clothing_Shoes_and_Jewelry,B000CC3OMC,is it the elder wand?,Yes this is the Elder Wand
Clothing_Shoes_and_Jewelry,B000CC3OMC,is it the elder wand?,Yes it is a replica of the elder want.  Thanks Sally
Clothing_Shoes_and_Jewelry,B000CC3OMC,is it the elder wand?,Yes it is tge elder wand. It is durable and wonderfully packaged for a gift.
Clothing_Shoes_and_Jewelry,B000CC3OMC,is it the elder wand?,"Yes,it is."
Clothing_Shoes_and_Jewelry,B000CC3OMC,is it the elder wand?,Yes it is the elder wand.
Clothing_Shoes_and_Jewelry,B000CC3OMC,its not the elder wand but dumbeldores first wand?,Its made to look just like the elder wand in the movies
Clothing_Shoes_and_Jewelry,B000CC3OMC,Does it come with the paper saying it's an official replica?,Dumbledore's wand in the Ollivander's box comes with a certificate of authenticity.
Clothing_Shoes_and_Jewelry,B000CC3OMC,Does it come with the paper saying it's an official replica?,"Hi there, yes it certainly does.  Thanks"
Clothing_Shoes_and_Jewelry,B000CC3OMC,Does the little black stub mean it's interactive?,It is not interactive.  It us just the wand. No bells and whistles or light effects
Clothing_Shoes_and_Jewelry,B000CC3OMC,Does the little black stub mean it's interactive?,"It is just the want no bells, whistles, or light effects. It us not interactive. Just the wand."
Clothing_Shoes_and_Jewelry,B000CC3OMC,Does the little black stub mean it's interactive?,"No its not interactive at all. Just a stick, but it's super cool."
Clothing_Shoes_and_Jewelry,B000CC3OMC,Does the little black stub mean it's interactive?,No this wand is not active
Clothing_Shoes_and_Jewelry,B000CC3OMC,Does the little black stub mean it's interactive?,"No, it is purely decorative.  It is a very niely made wand."
Clothing_Shoes_and_Jewelry,B000CC3OMC,is it fun too play with or not,"For pretend purposes yes ,like a holloween costume"
Clothing_Shoes_and_Jewelry,B000CC3OMC,is it fun too play with or not,"It's more of a collectors item and yes you can play with it, but it's really fragile. It's heavy enough to feel like an actual wand but it's more of a display item."
Clothing_Shoes_and_Jewelry,B000EGPM4Y,How long is this bracelet?,"about 8""...fits a average man's or large woman's wrist, not ankle..."
Clothing_Shoes_and_Jewelry,B000EGPM4Y,Is it solid copper?,"Yes, it is solid copper and really shines. Nice jewelry, just not for a man."
Clothing_Shoes_and_Jewelry,B000EGPM4Y,"is this solid copper, or copper plated?",solid copper and heavy.
Clothing_Shoes_and_Jewelry,B000EGPM4Y,Can you wear this in the shower?  Will it cause problems if exposed to water?,Have had no problems .
Clothing_Shoes_and_Jewelry,B000EGPM4Y,Can you wear this in the shower?  Will it cause problems if exposed to water?,"water is fine, it tarnishes with sweat"
Clothing_Shoes_and_Jewelry,B000EGPM4Y,Can you wear this in the shower?  Will it cause problems if exposed to water?,Water has no effect on the bracelet.
Clothing_Shoes_and_Jewelry,B000EGPM4Y,Does it have any magnets in it?,"No magnets, just pure copper."
Clothing_Shoes_and_Jewelry,B000EGPM4Y,Does it have any magnets in it?,None. It's just a copper bracelet.
Clothing_Shoes_and_Jewelry,B000EOJIVE,IS THIS PIN ALL METAL. THANKS,"Yes it is, no plastic"
Clothing_Shoes_and_Jewelry,B000EOJIVE,IS THIS PIN ALL METAL. THANKS,"Yes, it seems to be great quality.  Nice weight, good color.  Its not cheap."
Clothing_Shoes_and_Jewelry,B000EOJIVE,IS THIS PIN ALL METAL. THANKS,Yes. all metal and very nice
Clothing_Shoes_and_Jewelry,B000GYEP4C,Does this shirt have branding on the outside of it?,"There isn't any branding on the outside if the shirt. The ""tag"" is silk screened inside the shirt so no irritating tag to deal with either"
Clothing_Shoes_and_Jewelry,B000GYEP4C,Does this shirt have branding on the outside of it?,"No brands listed, does not hold up as well as Under Armor but the price is worth the money. Size runs slightly loose."
Clothing_Shoes_and_Jewelry,B000GYEP4C,Does this shirt have branding on the outside of it?,No branding. Just plain black t-shirt.
Clothing_Shoes_and_Jewelry,B000GYEP4C,"please tell how well the moisture control and wicking is working? moisture, control wicking shirt,please tell about now well moisture control is?","Yes, the moisture control & wicking works with this brand.  Augusta brand works just as well as the Nike brand & Augusta better priced.  Shirt is lightweight & airy & dries up quickly."
Clothing_Shoes_and_Jewelry,B000GYEP4C,"please tell how well the moisture control and wicking is working? moisture, control wicking shirt,please tell about now well moisture control is?","Great, dries really fast and keeps you cool."
Clothing_Shoes_and_Jewelry,B000H713A2,What is the size.  Will it carry 81/2 by 11 paper?  Place for a thin laptop?,It will not carry a thin laptop. You can place papers inside but they need to be folded hot dog style.
Clothing_Shoes_and_Jewelry,B000H713A2,What is the size.  Will it carry 81/2 by 11 paper?  Place for a thin laptop?,It will definitely not fit a thin laptop or even an ipad.  You could of course fold the paper.
Clothing_Shoes_and_Jewelry,B000H713A2,What is the size.  Will it carry 81/2 by 11 paper?  Place for a thin laptop?,No it is only about 6 inches high. Barely fits needed materials
Clothing_Shoes_and_Jewelry,B000H84IYO,"Has anyone used it for ski gear, boots, helmet, bibs,gloves and goggles?",Used it for a lot of hockey stuffIt fits all
Clothing_Shoes_and_Jewelry,B000H84IYO,"Has anyone used it for ski gear, boots, helmet, bibs,gloves and goggles?",Haven't used it for that.......but think it would be a good use.  Good Fit.  Two sections of the suitcase can be opened up to accomodate all the items.
Clothing_Shoes_and_Jewelry,B000H84IYO,How heavy is this bag (re: weight restrictions for airlines)?,"As heavy as you make it! It's not a carry on bag as the dimensions are slightly over reg, but if no one is paying attention you could get away with it as it is close.It's fairly light,.. Approx 8-9lbs very durable and great if you travel internationally"
Clothing_Shoes_and_Jewelry,B000H84IYO,How heavy is this bag (re: weight restrictions for airlines)?,it's about 12 lbs.  i thought it was very bulky and hard to pick up.  good thing is you can fit a ton of stuff in it.
Clothing_Shoes_and_Jewelry,B000H84IYO,How heavy is this bag (re: weight restrictions for airlines)?,Light weight . Packed a lot items and still met the standards
Clothing_Shoes_and_Jewelry,B000H84IYO,"Can you take things out of & put things into this bag while it is standing up (like a rolling knapsack), or do you have to lay it down flat to access?","You can take things in and out of the pouches, but in the main two compartments you would have to lay it flat"
Clothing_Shoes_and_Jewelry,B000H84IYO,"Can you take things out of & put things into this bag while it is standing up (like a rolling knapsack), or do you have to lay it down flat to access?","It's easy to access the small top and large front pocket with the bag standing upright, but to access the drop bottom, it needs to be laying on its back."
Clothing_Shoes_and_Jewelry,B000H84IYO,"Can you take things out of & put things into this bag while it is standing up (like a rolling knapsack), or do you have to lay it down flat to access?",It works best if you can lay it down and open it up. You can get to outside compartments when its standing up.
Clothing_Shoes_and_Jewelry,B000H84IYO,is this size ok for carry on?,No it's too big.
Clothing_Shoes_and_Jewelry,B000H84IYO,"can this duffel bag compress into a 8"" suitcase?","No.  It's not a true duffel in the soft, compressible sense. But it's a great travel case."
Clothing_Shoes_and_Jewelry,B000H84IYO,can this duffel bag compress into a,It is only moderately compressible from top to bottom. It can't bed lengthwise. Used it last week for 10 days in Ireland. Great!
Clothing_Shoes_and_Jewelry,B000H84IYO,can this duffel bag compress into a,No you cannot compress this.
Clothing_Shoes_and_Jewelry,B000H84IYO,can this duffel bag compress into a,"Into a what?... Not sure what your asking. This is not a duffle bag, it's a suit case with a duffle top. The top can compress down into the bottom( laying sideways), but the back half (where the handle slides) is solid along with the bottom or outside edges."
Clothing_Shoes_and_Jewelry,B000H84IYO,can this duffel bag compress into a,"Compress into a ""what""?"
Clothing_Shoes_and_Jewelry,B000H84IYO,can this duffel bag compress into a,"The question seems to be incomplete, but the bag compresses top to bottom to about 3-4 inches high. The handle gives rigidity that prevents the bag from folding ."
Clothing_Shoes_and_Jewelry,B000H84IYO,Does this bag qualify as a carry on?,Maybe if you don't put a lot in it. Definitely check the airline specs and measure your bag. It's pretty big for a carry on and space is usually tight in the overhead bins.
Clothing_Shoes_and_Jewelry,B000H84IYO,Does this bag qualify as a carry on?,"If at plane door it is considered too large for overhead, it can be checked to your destination planeside for usually no charge.  But best to get overall dimensions and compare to airline specs."
Clothing_Shoes_and_Jewelry,B000I82WNW,will this work for stud earrings?,Yes it fits studs and long earrings.
Clothing_Shoes_and_Jewelry,B000I82WNW,will this work for stud earrings?,"Yes, studs should be ok but lever back earrings will not fit."
Clothing_Shoes_and_Jewelry,B000I82WNW,will this work for stud earrings?,Yes this is perfect for studs
Clothing_Shoes_and_Jewelry,B000I82WNW,will this work for stud earrings?,Only the very top rows hold stud earrings.
Clothing_Shoes_and_Jewelry,B000I82WNW,will this work for clip on earrings,It's doubtful Carolyn. It has notches for hoops and small pin holes for studs. It is totally kewl if you have pierced ears.
Clothing_Shoes_and_Jewelry,B000I82WNW,will this work for clip on earrings,Yes.  It will.
Clothing_Shoes_and_Jewelry,B000I82WNW,will this work for clip on earrings,Yes. The slots are big enough to hold either type.
Clothing_Shoes_and_Jewelry,B000I82WNW,will this work for clip on earrings,"It probably isn't your best answer to storage, but you might be able to make it work.  The clips would be held apart when stored, which may stretch them so they don't fit as snugly."
Clothing_Shoes_and_Jewelry,B000I82WNW,How sturdy are the hinges?,"Have not had an issue with hinges, is sitting on dresser and has only been opened to set up."
Clothing_Shoes_and_Jewelry,B000I82WNW,What do you do to protect from dust?  Put a plastic bag over the whole thing??,nothing yet.....  but just use a feather duster
Clothing_Shoes_and_Jewelry,B000I82WNW,What do you do to protect from dust?  Put a plastic bag over the whole thing??,you cand or use a dust brush
Clothing_Shoes_and_Jewelry,B000I82WNW,Is this easy to travel with?,"Not really - it does fold, but if it's full of earrings the folds just enable it to stand up on a flat surface.  It's hard plastic/acrylic, and reasonably heavy - well-made."
Clothing_Shoes_and_Jewelry,B000I82WNW,Is this easy to travel with?,"Not really. The holder folds,  but isn't super secure when folded. If you're transporting non-stud earrings,  they will fall of the holder during travel."
Clothing_Shoes_and_Jewelry,B000I82WNW,"Does this work for longer, dangly earrings?","Yes, but you may lose the space below them. Works very well with hook type back."
Clothing_Shoes_and_Jewelry,B000I82WNW,"Does this work for longer, dangly earrings?",Yes but the earrings will take up space directly below them and you might not be able to use said space.
Clothing_Shoes_and_Jewelry,B000I82WNW,"Does this work for longer, dangly earrings?","Yes, but the only problem is that you can't put as many long, dangly earrings as you could have with studs."
Clothing_Shoes_and_Jewelry,B00EJA1RPE,Sunday Afternoons Play Hat : The picture is somewhat missleading... what's being offered here 2 hats or just 1?,It is one hat.
Clothing_Shoes_and_Jewelry,B00EJA1RPE,does the brim crease?  always pack in bag.  will wonder if it'll look bad or does it just bounce back and look seamless?,It's perfect. Great to pack. You can't go wrong.
Clothing_Shoes_and_Jewelry,B00EJA1RPE,"Does the brim flop down when it gets wet?  This is the issue i'm having with other sun hats - once they get wet, they flop down onto her face.",no! It is water repellant.
Clothing_Shoes_and_Jewelry,B00EJA1RPE,"Does the brim flop down when it gets wet?  This is the issue i'm having with other sun hats - once they get wet, they flop down onto her face.","No, the brim is quite stiff and stays put even when wet."
Clothing_Shoes_and_Jewelry,B00EJA1RPE,Is there a spot in the back for a girl to pull a ponytail through?,Not in the child size.  Not in the adult size either.
Clothing_Shoes_and_Jewelry,B00EJA1RPE,Is there a spot in the back for a girl to pull a ponytail through?,No there is no designated spot for a ponytail. A low ponytail would work fine though and the hat would still sit comfortably.
Clothing_Shoes_and_Jewelry,B00EJA1RPE,Is there a spot in the back for a girl to pull a ponytail through?,there is not but the hat is pretty big to fit at your daugther's head.
Clothing_Shoes_and_Jewelry,B00EJA1RPE,Is there a spot in the back for a girl to pull a ponytail through?,"No, there is not a spot in the back for a higher ponytail. A lower/nape ponytail will fit below the hat, however."
Clothing_Shoes_and_Jewelry,B000KFWI9G,"When you open the side doors, are there 2 rows of little hooks to hang your necklaces on each door or just one row per door?",There are two  rows.
Clothing_Shoes_and_Jewelry,B000KFWI9G,"When you open the side doors, are there 2 rows of little hooks to hang your necklaces on each door or just one row per door?",2 rows 1 high and 1 half way down ANDThere's a string strung across to hold everything at the bottom
Clothing_Shoes_and_Jewelry,B000KFWI9G,"When you open the side doors, are there 2 rows of little hooks to hang your necklaces on each door or just one row per door?",There are two rows of hooks on each side
Clothing_Shoes_and_Jewelry,B000KFWI9G,"When you open the side doors, are there 2 rows of little hooks to hang your necklaces on each door or just one row per door?",there ar 2 rows of 5 hooks each on both sides for a total of 20 hooks!!!!!!  Pretty good!!!!!!
Clothing_Shoes_and_Jewelry,B000KFWI9G,"When you open the side doors, are there 2 rows of little hooks to hang your necklaces on each door or just one row per door?",There are two rows on each side
Clothing_Shoes_and_Jewelry,B000KFWI9G,Does this produst have a lock?,There is no lock.
Clothing_Shoes_and_Jewelry,B000KFWI9G,Does this produst have a lock?,No there is no lock on this piece.
Clothing_Shoes_and_Jewelry,B000KFWI9G,Is it lined with anti-tarnish cloth?,It is lined in brown velvet but it is not anti tarnish.
Clothing_Shoes_and_Jewelry,B000KFWI9G,Is it lined with anti-tarnish cloth?,"Yes, it is felt lined"
Clothing_Shoes_and_Jewelry,B000KFWI9G,Is this the same product that is listed on Overstock.com for almost $100 cheaper?,It appears to be the same.
Clothing_Shoes_and_Jewelry,B000KFWI9G,Is this the same product that is listed on Overstock.com for almost $100 cheaper?,It appears the same from the pictures.
Clothing_Shoes_and_Jewelry,B000KFWI9G,Does the top section contain a built-in RING storage unit specifically designed for holding rings?,"Yes it does and is well padded.  There are two ring areas all the way down both sides of the top area and the middle is for anything else you would like to store, watches, bracelets, etc."
Clothing_Shoes_and_Jewelry,B000KFWI9G,Does the top section contain a built-in RING storage unit specifically designed for holding rings?,Yes it is specifically designed to hold rings.
Clothing_Shoes_and_Jewelry,B000KFWI9G,Does the top section contain a built-in RING storage unit specifically designed for holding rings?,"Yes, down each side inside the lift up top is a row of ring holders.  Holds many rings."
Clothing_Shoes_and_Jewelry,B000KFWI9G,Does the top section contain a built-in RING storage unit specifically designed for holding rings?,Yes it does and it holds a lot of rings. Very nice.
Clothing_Shoes_and_Jewelry,B000KFWI9G,"Does the top section seem to be designed for ring display and storage?   The description mentioned storage, but was not specific about the type.",The top flips up and there is a storage space.
Clothing_Shoes_and_Jewelry,B000NKMO1K,Why does the size 6C look like a different style than the rest of the sizes??,It could be that it is an older or newer Trooper where modifications have been made to newer ones.
Clothing_Shoes_and_Jewelry,B000NKMO1K,is this brand made in the USA?,"Milwaukee Motorcycle Clothing Company is NOT located in Milwaukee, WI.  They are actually owned and operated by Carroll Companies, Inc. out of Boone, NC.  Their website states they manufacture both in the US and abroad.  http://www.clgco.com/"
Clothing_Shoes_and_Jewelry,B000NKMO1K,What is the difference in a size 8 and 8C?,"The ""Size 8"" only represents the length of the shoe. Whether properly stated or not, every shoe/boot has, and should include a number/letter pair (e.g., ""C"" to ""EEE"") designating the length and width of the shoe respectively. ""8 C"" would represent a relatively narrow size 8."
Clothing_Shoes_and_Jewelry,B000NKMO1K,Do these have a steel toe??,"No, but the toe is very firm and comfortable."
Clothing_Shoes_and_Jewelry,B000NKMO1K,what does the c stand for in sizing?,"""C"" indicates the width of the shoe (i.e., ""C"", ""D"", ""E"", ""EE"", etc.). a shoe of ""C"" width would be relatively narrow."
Clothing_Shoes_and_Jewelry,B000NPAVS8,"How dark are these sunglasses, can people see your eyes through them?",There pretty dark. Up close you can see eyes but from 2-3 feet away you can't
Clothing_Shoes_and_Jewelry,B000NPAVS8,"How dark are these sunglasses, can people see your eyes through them?","yes, you can see your eyes. They do not have mirror lenses."
Clothing_Shoes_and_Jewelry,B000NPAVS8,Are these glasses darker than regular grey polarized lens?,"Yes they are, but they still won't make it ""dark-as-night"" and that's actually a good thing."
Clothing_Shoes_and_Jewelry,B000NPAVS8,What is the UV protection rating for these sunglasses?,dont know but best glasses for dual purpose
Clothing_Shoes_and_Jewelry,B000NPAVS8,What is the UV protection rating for these sunglasses?,The lenses Block 99.9% of UVA/UVB/UVC rays
Clothing_Shoes_and_Jewelry,B000NPAVS8,do they fit over regular reading glasses?,No they do not. They are pretty close to the face
Clothing_Shoes_and_Jewelry,B000NPAVS8,do they fit over regular reading glasses?,"No they dont, its not made to be worn over glasses"
Clothing_Shoes_and_Jewelry,B000NPAVS8,do they fit over regular reading glasses?,"No, they do not.  Sorry."
Clothing_Shoes_and_Jewelry,B000NPAVS8,do they fit over regular reading glasses?,No. They're pretty snug on the face
Clothing_Shoes_and_Jewelry,B000OF72WK,"Can you actually use your device (Kindle, iPad) while inside, or is it just protected?",yes.  This is 12 X16 so it can hold upto regular iPad or tablet size 10 x 13. make sure all air are squeezed out prior to locking up for better contact.
Clothing_Shoes_and_Jewelry,B000OF72WK,will this fit a Kindle Fire?,i don't have this dry pak you are referring to. i have small ones that fit a phone for waverunners. sorry i couldn't be of more help.
Clothing_Shoes_and_Jewelry,B000QDK5RO,Where are they made?,"""PVC Boots are made in the USA by ONGUARD Industries.""http://www.onguardindustries.com/tour/end.htmlSee this web site for additional details about their manufacturing facility."
Clothing_Shoes_and_Jewelry,B000QDK5RO,Where are they made?,"don't where in the states but made is the USA enbossed in the sole and a stamp on the leg riser also stamped made in USA. These boots are heavy and seem  to be well made, hope this helps.   Jim"
Clothing_Shoes_and_Jewelry,B000R70N4E,will this product shrink?,Nope..not a bit.
Clothing_Shoes_and_Jewelry,B000R70N4E,will this product shrink?,These merino shirts and long johns are wonderful....soft and warm...They do not shrink if you wash them in cold water....They WILL shrink if you wash them in hot water....like anything else that is made of wool...soo...cold water wash only...and gentle cycle.
Clothing_Shoes_and_Jewelry,B000R70N4E,Mid-weight or light-weight? Would like for hiking in 45-65*.,"Might want a lighter weight, this stuff is pretty warm when you are exercising."
Clothing_Shoes_and_Jewelry,B000R70N4E,How does this work over a shirt in a casual setting?,It feels very good.
Clothing_Shoes_and_Jewelry,B000R70N4E,How does this work over a shirt in a casual setting?,"As other responders have stated, you might need to order up a size. The only reason you'd want to wear something under this is the fact that the zipper goes down much further than a normal sweater with zips."
Clothing_Shoes_and_Jewelry,B000R70N4E,good for true BASE layer on a 10 day (no access to laundry) high altitude trek to Himalaya? Comparing this to nylon or polypro,"yes...if i were undertaking a trek like yours, i would choose this above all other things...happy holidays!"
Clothing_Shoes_and_Jewelry,B000R70N4E,good for true BASE layer on a 10 day (no access to laundry) high altitude trek to Himalaya? Comparing this to nylon or polypro,Excellent top for adding or reducing base layers go for the Wool nothing can compare
Clothing_Shoes_and_Jewelry,B000R70N4E,Does this shrink when washed for the first time?,"You need to wash all wool in cold water. It won't shrink if you wash it in cold water. The sleeves are a little short on this shirt, otherwise Minus 33 are really great."
Clothing_Shoes_and_Jewelry,B000R70N4E,Does this shrink when washed for the first time?,"No, if directions are followed. This a very nice base layer."
Clothing_Shoes_and_Jewelry,B000R70N4E,Does this shrink when washed for the first time?,Hand wash merino wool items and air dry. Dont put in a washing machine because warm water will shrink wool. GL
Clothing_Shoes_and_Jewelry,B000UQZB94,what is travel socks made of?  Does it contain wool?,"Made of nylon, no wool."
Clothing_Shoes_and_Jewelry,B000UQZB94,what is travel socks made of?  Does it contain wool?,No wool. Man made fiber like nylon. They work well and feel good and are easier to put on after first time.
Clothing_Shoes_and_Jewelry,B000UQZB94,Where is the sizing chart for travelsox tss 6000?,Men's shoe size 9
Clothing_Shoes_and_Jewelry,B000UQZB94,Where is the sizing chart for travelsox tss 6000?,"Size chart form Travelsox website:  Small: W 3-6, M 5-7.5.  Medium: W 6.5-8.5  M 8-10.  Large:  W  9-11, M  10.5-13.  X-Large: M 14-15"
Clothing_Shoes_and_Jewelry,B000UQZB94,Do the socks fit with correct compression if you have large calfs?,no there more a confort sock then a compression sock there very long. giving discomfort when sitting
Clothing_Shoes_and_Jewelry,B000V18T92,does it absorb feet witness during running?,"Yes, and it also has a lot of support."
Clothing_Shoes_and_Jewelry,B000V18T92,does it absorb feet witness during running?,Yes! Great running sock�
Clothing_Shoes_and_Jewelry,B000WO84Z2,how many come in a pack ?,One lock comes in each pack.
Clothing_Shoes_and_Jewelry,B000WO84Z2,how many come in a pack ?,"its 1, but it works very well and they cable on top of the lock works so much better on a variety of bags instead of the locks that arent flexible"
Clothing_Shoes_and_Jewelry,B000WO84Z2,how many come in a pack ?,Master Lock 4688D TSA Accepted Cable Luggage Lock
Clothing_Shoes_and_Jewelry,B000WO84Z2,Will this fit through the holes in a zipper (i want to lock to zippers together)??,"Yes, it will fit through the holes in a zipper. The hackle/shaft appears to be a small strand of airplane cable crimped to two metal pieces. It is the crimped pieces that hold the hackle to the lock body."
Clothing_Shoes_and_Jewelry,B000WO84Z2,Will this fit through the holes in a zipper (i want to lock to zippers together)??,"The exact size the cable will pass through is 9/64 or 3.57mm. this has been checked with a drill gauge. It will NOT fit through a 1/8"" hole"
Clothing_Shoes_and_Jewelry,B000WO84Z2,Does one end of the cable remain in the lock so you only have to thread the other side of the cable through the zipper holes?,Yes that is how it works. You can not remove but one side at all.
Clothing_Shoes_and_Jewelry,B000WO84Z2,Is the cable easier or more difficult than the rigid locks to attach to suitcases?,The cable is quite pliable. It is not rigid at all.
Clothing_Shoes_and_Jewelry,B000WO84Z2,Is the cable easier or more difficult than the rigid locks to attach to suitcases?,Once you've done it once or twice it is easier because of it's flexibility with different types of luggage.
